Produit;Version;SystemeExploitation;DateCreation;DateResolution;Statut;Probleme;Resolution
Maître des Investissements;2.1;Windows;05/01/2023 00:00:00;20/01/2023 00:00:00;Résolu;"Les utilisateurs rencontrent des plantages fréquents de l'application lorsqu'ils tentent de synchroniser leurs portefeuilles avec les serveurs de l'entreprise. L'application se ferme de manière inattendue après avoir cliqué sur le bouton de synchronisation.";"Les logs ont montré une incompatibilité avec une bibliothèque spécifique utilisée pour la communication réseau. La bibliothèque a été mise à jour et les utilisateurs ont été invités à télécharger la dernière version de l'application. Des tests supplémentaires ont été effectués pour garantir la stabilité de la nouvelle version."
Planificateur d'Entraînement;1.0;Android;10/02/2023 00:00:00;;En cours;"Les utilisateurs signalent que les notifications d'entraînement ne se déclenchent pas à l'heure prévue. Certaines notifications sont retardées de plusieurs heures, tandis que d'autres ne se déclenchent pas du tout.";"En cours d'investigation. Une analyse préliminaire suggère que le problème pourrait être lié à la gestion des permissions de l'application sous Android 12. Une mise à jour est en cours de développement pour résoudre ce problème. En attendant, les utilisateurs ont été conseillés de vérifier et d'ajuster les paramètres de notification et de permissions."
Planificateur d'Anxiété Sociale;1.1;MacOS;15/03/2023 00:00:00;05/04/2023 00:00:00;Résolu;"L'application se bloque lors de la génération de rapports de progrès hebdomadaires. Les utilisateurs voient un message d'erreur indiquant ""Erreur inattendue"" après avoir cliqué sur le bouton ""Générer le rapport"".";"Le problème a été causé par une gestion incorrecte des dates dans le code de génération de rapports. Une mise à jour a été déployée pour corriger la gestion des dates et améliorer la robustesse du processus de génération de rapports. Les utilisateurs ont été informés de la mise à jour et invités à réessayer de générer leurs rapports."
Trader en Herbe;1.0;Linux;22/01/2023 00:00:00;15/02/2023 00:00:00;Résolu;"Des utilisateurs signalent que l'application ne démarre pas après l'installation. Lorsque l'utilisateur essaie de lancer l'application, une fenêtre vide apparaît et se ferme immédiatement.";"Le problème a été identifié comme étant un conflit avec une version spécifique de Linux. Une mise à jour de l'application a été déployée pour corriger ce problème de compatibilité."
Trader en Herbe;1.1;Windows;03/03/2023 00:00:00;;En cours;"Les utilisateurs rencontrent des erreurs lors de l'importation de leurs données de portefeuille. L'application affiche un message d'erreur ""Importation échouée"" sans fournir de détails supplémentaires.";"En cours d'investigation. Une analyse préliminaire suggère que le problème pourrait être lié à des formats de fichier non pris en charge. Une mise à jour de l'application est en cours de développement pour améliorer la gestion des erreurs et la compatibilité des formats de fichier."
Trader en Herbe;1.1;MacOS;22/01/2023 00:00:00;15/02/2023 00:00:00;Résolu;"Les utilisateurs signalent que l'application ne démarre pas après l'installation. Lorsque l'utilisateur essaie de lancer l'application, une fenêtre vide apparaît et se ferme immédiatement.";"Le problème a été identifié comme étant un conflit avec une version spécifique de macOS. Une mise à jour de l'application a été déployée pour corriger ce problème de compatibilité, et les utilisateurs ont été informés de la nécessité de mettre à jour leur application."
Trader en Herbe;1.2;Linux;10/04/2023 00:00:00;25/04/2023 00:00:00;Résolu;"L'application affiche des graphiques incorrects pour les tendances de marché. Les utilisateurs remarquent que les graphiques ne se mettent pas à jour en temps réel et montrent des données obsolètes.";"Le problème a été identifié comme étant une erreur dans le code de mise à jour des graphiques. Une mise à jour a été déployée pour corriger ce problème et les utilisateurs ont été informés de la mise à jour. Les graphiques se mettent désormais à jour en temps réel comme prévu."
Trader en Herbe;1.3;Android;18/05/2023 00:00:00;;En cours;"L'application consomme une quantité excessive de batterie. Les utilisateurs signalent que leur batterie se vide rapidement lorsqu'ils utilisent l'application, même pendant de courtes périodes.";"En cours d'investigation. Les développeurs sont en train de profiler l'application pour identifier les fuites de mémoire ou les processus gourmands en ressources. Une mise à jour est prévue pour optimiser la consommation d'énergie de l'application."
Maître des Investissements;1.0;MacOS;12/01/2023 00:00:00;28/01/2023 00:00:00;Résolu;"Les utilisateurs signalent que l'application plante lorsqu'ils essaient d'ajouter une nouvelle transaction à leur portefeuille. L'application se ferme de manière inattendue après avoir cliqué sur le bouton ""Ajouter"".";"Le problème a été identifié comme étant une erreur dans la gestion de la mémoire lors de l'ajout de nouvelles transactions. Une mise à jour a été déployée pour corriger cette gestion de mémoire et stabiliser l'application."
Maître des Investissements;2.1;Windows;01/02/2023 00:00:00;15/02/2023 00:00:00;Résolu;"Les utilisateurs rencontrent des problèmes de lenteur lors de la génération de rapports financiers mensuels. L'application prend plusieurs minutes pour générer un rapport, ce qui ralentit considérablement le flux de travail.";"Après investigation, il s'est avéré que le code responsable de la génération des rapports n'était pas optimisé et effectuait des requêtes redondantes à la base de données. Les développeurs ont remanié l'algorithme pour réduire le nombre de requêtes, mise en cache des données fréquemment utilisées et parallélisation de certains calculs. Dans la nouvelle version, les temps de génération des rapports ont été considérablement réduits, passant de plusieurs minutes à quelques secondes seulement. Des tests de charge ont confirmé les gains de performances."
Maître des Investissements;2.1;Android;01/02/2023 00:00:00;15/02/2023 00:00:00;Résolu;"Plusieurs utilisateurs ont signalé un bogue où le graphique des performances du portefeuille n'affichait pas les bonnes données pour la période sélectionnée.";"Un correctif a été déployé dans la nouvelle version pour corriger le calcul de la plage de dates dans le graphique des performances."
Maître des Investissements;1.0;iOS;01/02/2023 00:00:00;;En cours;"Sur les appareils iOS les plus récents, l'application plante lors du démarrage avec une erreur de violation d'accès.";""
Maître des Investissements;2.0;iOS;01/02/2023 00:00:00;15/02/2023 00:00:00;Résolu;"Sur certains modèles d'iPhone et d'iPad, les titres des graphiques financiers dans l'application ne s'affichent pas correctement. Le titre se trouve soit tronqué, soit chevauche d'autres éléments de l'interface utilisateur. Ce problème semble lié aux différentes tailles et résolutions d'écran des appareils iOS.";"Après avoir examiné le code d'affichage des graphiques, les développeurs ont apporté des modifications pour s'assurer que les dispositions s'adaptent dynamiquement aux différentes tailles d'écran. La version 2.1.2 corrige ce bogue et les titres des graphiques s'affichent désormais correctement sur tous les modèles iOS pris en charge, quelle que soit leur résolution. Des tests approfondis sur différents appareils ont validé la correction."
Planificateur d'Entraînement;1.1;Windows;15/01/2023 00:00:00;30/01/2023 00:00:00;Résolu;"Les utilisateurs signalent que l'application se fige lorsqu'ils tentent de créer un plan d'entraînement personnalisé. L'application ne répond plus et doit être redémarrée.";"Le problème a été identifié comme étant une fuite de mémoire dans le module de gestion des sessions d'entraînement. Une mise à jour a été déployée pour corriger cette fuite de mémoire et stabiliser l'application lors de la création de plans d'entraînement personnalisés."
Planificateur d'Entraînement;1.1;MacOS;20/02/2023 00:00:00;05/03/2023 00:00:00;Résolu;"Les utilisateurs rencontrent des erreurs lors de la synchronisation de leurs données avec l'application Apple Health. Les données d'entraînement ne sont pas correctement transférées, ce qui entraîne des incohérences dans les rapports de santé.";"Le problème a été identifié comme étant un bug dans le module de synchronisation avec Apple Health. Une mise à jour a été déployée pour corriger ce bug et garantir une synchronisation correcte des données."
Planificateur d'Entraînement;1.1;Android;20/02/2023 00:00:00;;En cours;"Les utilisateurs signalent que les rappels d'entraînement ne se déclenchent pas à l'heure prévue. Certaines notifications sont retardées de plusieurs heures, tandis que d'autres ne se déclenchent pas du tout.";""
Planificateur d'Entraînement;1.1;iOS;05/04/2023 00:00:00;20/04/2023 00:00:00;Résolu;"L'application affiche des valeurs incorrectes pour les calories brûlées pendant les séances d'entraînement. Les utilisateurs remarquent que les calories affichées sont beaucoup plus élevées que celles mesurées par d'autres applications de fitness.";"Le problème a été identifié comme étant une erreur dans l'algorithme de calcul des calories. Une mise à jour a été déployée pour corriger cet algorithme et garantir des valeurs précises pour les calories brûlées. Les utilisateurs ont été informés de la mise à jour et invités à vérifier les nouvelles valeurs."
Planificateur d'Entraînement;1.0;Linux;20/05/2023 00:00:00;05/06/2023 00:00:00;Résolu;"Les utilisateurs rencontrent des difficultés avec la mise en page des plans d'entraînement exportés en format PDF. Les éléments du plan d'entraînement se chevauchent et le PDF généré ne correspond pas à la mise en page de l'application, rendant le document illisible.";"Le problème a été identifié comme étant une erreur dans le code de génération de PDF qui ne respectait pas les styles et formats de mise en page définis dans l'application. Une mise à jour a été déployée pour corriger le code de génération de PDF, assurant que les éléments sont correctement alignés et que la mise en page du PDF correspond à celle de l'application."
Planificateur d'Anxiété Sociale;1.0;Android;01/02/2023 00:00:00;15/02/2023 00:00:00;Résolu;"Les utilisateurs signalent que l'application plante lorsqu'ils essaient d'ajouter un nouvel événement social à leur calendrier. L'application se ferme de manière inattendue après avoir cliqué sur ""Ajouter"".";"Le problème a été identifié comme étant une incompatibilité avec une mise à jour récente d'Android. Une mise à jour de l'application a été déployée pour corriger cette incompatibilité, et les utilisateurs ont été informés de la mise à jour et invités à mettre à jour leur application."
Planificateur d'Anxiété Sociale;1.0;iOS;20/03/2023 00:00:00;05/04/2023 00:00:00;Résolu;"Les notifications pour les rappels d'événements ne se déclenchent pas à l'heure prévue. Les utilisateurs ne reçoivent pas les rappels à temps, ce qui entraîne des problèmes de gestion de l'anxiété.";"Le problème a été identifié comme étant une mauvaise configuration des notifications dans l'application. Une mise à jour a été déployée pour corriger les paramètres de notification et garantir que les rappels se déclenchent à l'heure prévue. Les utilisateurs ont été informés de la mise à jour et invités à vérifier les nouvelles notifications."
Planificateur d'Anxiété Sociale;1.1;Windows;05/04/2023 00:00:00;;En cours;"L'application se bloque lorsqu'on tente d'accéder à l'historique des sessions de thérapie. Les utilisateurs signalent que l'application ne répond plus et doit être redémarrée.";""
Planificateur d'Anxiété Sociale;1.1;MacOS;15/05/2023 00:00:00;30/05/2023 00:00:00;Résolu;"Les utilisateurs signalent que l'application ne se connecte pas correctement aux services de synchronisation cloud. Les données ne sont pas mises à jour entre les différents appareils, ce qui entraîne des incohérences dans les journaux et les événements.";"Le problème a été identifié comme étant une mauvaise gestion des tokens d'authentification pour les services de cloud. Une mise à jour a été déployée pour corriger cette gestion des tokens et assurer une synchronisation correcte des données entre les appareils. Les utilisateurs ont été informés de la mise à jour et invités à reconnecter leurs comptes pour rétablir la synchronisation."
Planificateur d'Anxiété Sociale;1.0;Windows;10/06/2023 00:00:00;;En cours;"Les utilisateurs rencontrent des difficultés avec les graphiques de suivi de l'humeur qui ne s'affichent pas correctement. Les graphiques sont incomplets ou ne montrent pas les données sur une période donnée.";""
Trader en Herbe;1.2;Windows Mobile;15/08/2023 00:00:00;01/09/2023 00:00:00;Résolu;"Les utilisateurs signalent que l'application se déconnecte fréquemment du serveur, ce qui entraîne des interruptions lors de l'exécution des transactions. Cela perturbe l'expérience utilisateur, en particulier lors des périodes de haute volatilité du marché.";"Le problème a été identifié comme étant une mauvaise gestion des connexions réseau sur Windows Mobile. Une mise à jour a été déployée pour améliorer la stabilité des connexions et réduire les interruptions. Les utilisateurs ont été informés de la mise à jour et invités à vérifier leurs connexions."
Trader en Herbe;1.2;Linux;25/09/2023 00:00:00;;En cours;"L'application affiche des données pour certains marché incorrectes après une actualisation manuelle. Les utilisateurs signalent des écarts importants entre les valeurs affichées et les valeurs réelles du marché.";""
Trader en Herbe;1.3;MacOS;05/10/2023 00:00:00;20/10/2023 00:00:00;Résolu;"Les utilisateurs signalent des problèmes de performances lorsque l'application est utilisée sur des appareils Mac plus anciens. L'application est lente et parfois non réactive, ce qui rend difficile l'exécution des transactions en temps opportun.";"Le problème a été identifié comme étant une gestion inefficace des ressources système sur les appareils plus anciens. Une mise à jour a été déployée pour optimiser l'utilisation des ressources et améliorer les performances sur les appareils Mac plus anciens. Les utilisateurs ont été informés de la mise à jour et invités à vérifier les améliorations."
Planificateur d'Anxiété Sociale;1.1;Windows;10/11/2023 00:00:00;25/11/2023 00:00:00;Résolu;"Les utilisateurs signalent que l'application ne sauvegarde pas correctement les entrées du journal de bord. Après avoir ajouté des entrées et fermé l'application, ils constatent que la dernière entrée a disparu lorsqu'ils rouvrent l'application.";"Le problème a été identifié comme étant un bug dans le module de sauvegarde automatique. Une mise à jour a été déployée pour corriger ce bug et garantir que les entrées du journal de bord sont correctement sauvegardées. Les utilisateurs ont été informés de la mise à jour et invités à vérifier la persistance de leurs nouvelles entrées."
